feature,count,mean,std,min,25%,50%,75%,max
IDX_POLY,409.0,16.024449877750612,14.575005087042337,0.0,4.0,11.0,24.0,60.0
CENTR_KM_LAT,409.0,19.447950447867697,0.15201207453924226,18.84600279460162,19.37893857698346,19.47190376912801,19.552759903838016,19.915224116985865
CENTR_KM_LON,409.0,-92.2592641991026,0.2574592552999448,-93.0260418185074,-92.34081353064836,-92.20665403881748,-92.0682725716634,-91.84759900628195
AREA_KM2,409.0,1.7345800384791197,6.675359125065048,0.0101250711966773,0.1011523293647724,0.2401935358489019,0.6372348432752993,80.34525601831258
PERIM_KM,409.0,21.58938792632283,55.98180979894711,0.8523571897623746,3.526229293447615,6.484651748550774,15.75655728111174,538.0647025163464
COMPLEX_MEAS,409.0,386.5766499078541,621.1880879394205,24.06151455113246,105.53577569992862,194.7856495180398,404.9237706553142,4852.266523793549
SPREAD,409.0,1.055244989765359,1.048960219819941,0.0533127447701596,0.4260736405631582,0.7646112981244627,1.2391425988505185,8.770207510297526
SHP_FACT,409.0,30.762792358370042,49.43257739268088,1.9147544895451487,8.398270187840586,15.50054948208075,32.222809837601105,386.13110123053553
HU_MOM1,409.0,3.133186105977098,0.027379607920267765,3.0007096144962926,3.123581448692435,3.142456531226832,3.152653656616992,3.162082609312272
HU_MOM2,409.0,7.370045942508921,0.06277934839262396,7.11540506410727,7.346106700284783,7.387208278935237,7.418460497847348,7.440765155329216
HU_MOM3,409.0,14.340943511219153,0.9341270330177759,12.150301226048263,13.69349734476053,14.275098651011191,14.948818516007409,17.164124515444918
HU_MOM4,409.0,13.730793419332809,0.8969921324344634,11.413273292784044,13.057659400468488,13.78144787922188,14.359553350423305,16.422760159061006
HU_MOM5,409.0,4.893433483460827,27.732077467182414,-31.71337994678373,-27.97237081280627,25.89802028258765,28.25424651200708,32.78294368942213
HU_MOM6,409.0,3.0497162625063567,17.536584765224415,-22.718731885390344,-17.780360998597164,16.48602885010034,17.63476978708774,21.25601165310844
HU_MOM7,409.0,0.031125989501154597,28.18091600206174,-32.45704753207162,-27.98463162076259,-23.70348699205613,28.24492529263568,32.131667466446395
CIRCULARITY,409.0,0.09254123272634754,0.08894496740291012,0.002589793976225,0.0310339168135824,0.0645138419870882,0.1190721395755815,0.5222601672747875
PERI_AREA_RATIO,409.0,29.261985104695373,12.092203475271125,3.828640896708617,21.37527021298464,28.82991439743816,35.56776928238275,84.18283419499167
FG_STD,409.0,7.409240335402268,3.978549841229754,1.6663902728255555,5.172336128536234,6.725586538504774,8.94262229702301,27.64583481452246
FG_VAR,409.0,70.68699982054633,96.03804818421104,2.7768565413676294,26.75306102656119,45.23351428691663,79.97049354721312,764.292182591862
FG_MIN,409.0,9.04645476772616,6.151302540091671,0.0,5.0,7.0,11.0,36.0
FG_MAX,409.0,51.23471882640587,26.22589775808097,15.0,36.0,46.0,60.0,178.0
FG_MEAN,409.0,25.636279015812537,13.825042446026846,4.147390906316753,16.94705882352941,23.055,30.339130434782607,81.61538461538461
FG_MEDIAN,409.0,25.488997555012226,14.144709092666787,4.0,16.0,23.0,31.0,82.0
FG_VAR_COEF,409.0,0.3039740925695694,0.09261715353348851,0.1353408379133138,0.2372361116911893,0.2968033213476729,0.3639738090890648,0.6156777554192623
BG_STD,409.0,20.278680031927006,10.828484777194245,3.936792710074684,12.49551298115473,17.317882841974754,26.111731583458777,64.35275484639509
BG_VAR,409.0,528.1942567187674,614.6303063021904,15.498336842097173,156.1378446622064,299.9090661283636,681.8225262865985,4141.277056320227
BG_MIN,409.0,19.21760391198044,12.529928216372017,0.0,10.0,17.0,25.0,89.0
BG_MAX,409.0,178.33007334963324,75.27023928358626,36.0,108.0,177.0,255.0,255.0
BG_MEAN,409.0,58.453921911508985,26.965074384643366,14.637217191143955,42.43271672107363,53.91140776699029,68.35356746392169,180.87144298688196
BG_MEDIAN,409.0,55.42542787286064,26.483021547208455,14.0,39.0,51.0,64.0,180.0
BG_VAR_COEF,409.0,0.36086223632967085,0.17287204366527265,0.1784791811343069,0.2606721586843328,0.2902649709770165,0.3942728552042789,1.296002611222404
FG_DARK_INTENS,409.0,32.81764289569645,16.217328117310007,7.31776223277908,21.4953109486584,30.47855974791768,38.51936105354551,117.9001843149295
FG_BG_KS_STAT,409.0,0.8595252247258041,0.057299938678815346,0.5118461763274904,0.8270127638684339,0.8632110696244235,0.9023436614096998,0.9856573028939998
FG_BG_MW_STAT,409.0,3357574467.2493887,25293937536.820408,5804.0,317899.0,2330040.5,21905944.5,360796081376.0
FG_BG_RAT_ARI,409.0,2.4421300699232735,0.6649548503716045,1.4833731855839607,1.94011639591734,2.297818516626377,2.71673120463827,5.380364679025819
FG_BG_RAT_QUA,409.0,1.5558861052880353,0.879776830128406,0.7335223783268365,0.97605217373775,1.0242826926292368,2.097800027831653,5.4437233745817215
AREA_KM_DS,409.0,1.7345800384790027,6.675359125064654,0.0101250711967,0.101152329365,0.240193535849,0.637234843275,80.3452560183
PERIM_KM_DS,409.0,21.589387926323134,55.98180979896073,0.852357189762,3.52622929345,6.48465174855,15.7565572811,538.064702516
SUBCLASSE,0.0,,,,,,,
